% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 14 2025, 13:26"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
5.000000000000001E-7,1.0E-6,1.4208313636247183+1.407459313001843E-10i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,4.708596823242029E-13,0.6938917223929498
5.000000000000001E-7,2.0E-6,1.4509924096174032-7.689142633310895E-15i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.6764937169851352E-12,0.19488628717374148
5.000000000000001E-7,3.0E-6,1.457123133192077+3.801067130201555E-11i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,3.6265622838487545E-12,0.09009238237226547
5.000000000000001E-7,4.0E-6,1.4593502814698962-4.775691925476463E-13i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,6.32545832503756E-12,0.05165248416546927
5.000000000000001E-7,4.9999999999999996E-6,1.460402000599212+8.974698038929074E-11i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,9.770522286168931E-12,0.03343993559442041
5.000000000000001E-7,5.999999999999999E-6,1.46098020126337-2.3484463672147224E-11i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.3962507411802833E-11,0.023400212178018222
5.000000000000001E-7,7.0E-6,1.4613324436369668+2.3324291370552895E-10i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.8905551012732636E-11,0.017281994888871156
5.000000000000001E-7,8.0E-6,1.461562889215419+6.0463506197540185E-12i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,2.4612193363508157E-11,0.013274949987097277
5.565217391304349E-7,1.0E-6,1.4091555456768314+1.2989502796266705E-10i,5.386895729687499E14,5.565217391304349E-7,1.4596397373812102,4.835657662481959E-13,0.6070375201439135
5.565217391304349E-7,2.0E-6,1.445728975767816-2.2252176023296324E-15i,5.386895729687499E14,5.565217391304349E-7,1.4596397373812102,1.6998618139045943E-12,0.17268613317192347
5.565217391304349E-7,3.0E-6,1.4532332912595733+8.172423905047391E-12i,5.386895729687499E14,5.565217391304349E-7,1.4596397373812102,3.660203953801675E-12,0.08019841715784931
5.565217391304349E-7,4.0E-6,1.455969246928945-3.137367490644751E-10i,5.386895729687499E14,5.565217391304349E-7,1.4596397373812102,6.3687943195748415E-12,0.046090758916107075
5.565217391304349E-7,4.9999999999999996E-6,1.4572640710580065-7.516811537311973E-12i,5.386895729687499E14,5.565217391304349E-7,1.4596397373812102,9.823414298969475E-12,0.029881928485963407
5.565217391304349E-7,5.999999999999999E-6,1.4579767652504103+1.1858321024946541E-11i,5.386895729687499E14,5.565217391304349E-7,1.4596397373812102,1.4023308205152911E-11,0.020932476080211444
5.565217391304349E-7,7.0E-6,1.4584114830462147+4.1743562927485966E-11i,5.386895729687499E14,5.565217391304349E-7,1.4596397373812102,1.8974648082673996E-11,0.015470250741452952
5.565217391304349E-7,8.0E-6,1.4586959997080673-2.640622101783529E-12i,5.386895729687499E14,5.565217391304349E-7,1.4596397373812102,2.4686281786889194E-11,0.011890918450331215
6.130434782608697E-7,1.0E-6,1.3974620539922613+7.074295626546004E-11i,4.890231584397162E14,6.130434782608697E-7,1.4576151828825883,4.963562727030989E-13,0.5368691205006462
6.130434782608697E-7,2.0E-6,1.4408947574929138-5.372148753211085E-16i,4.890231584397162E14,6.130434782608697E-7,1.4576151828825883,1.7234499970153099E-12,0.15461913954137443
6.130434782608697E-7,3.0E-6,1.44989026454329+3.9938282520187236E-14i,4.890231584397162E14,6.130434782608697E-7,1.4576151828825883,3.6940961670523776E-12,0.07213628003456177
6.130434782608697E-7,4.0E-6,1.4531814653335275+7.96622395948004E-11i,4.890231584397162E14,6.130434782608697E-7,1.4576151828825883,6.412540623907897E-12,0.041555815582295014
6.130434782608697E-7,4.9999999999999996E-6,1.4547423457147315-2.860062512098225E-11i,4.890231584397162E14,6.130434782608697E-7,1.4576151828825883,9.87689279874097E-12,0.02697997852270505
6.130434782608697E-7,5.999999999999999E-6,1.4556025162428818-1.0641936319533042E-9i,4.890231584397162E14,6.130434782608697E-7,1.4576151828825883,1.40853349904927E-11,0.018918851114365316
6.130434782608697E-7,7.0E-6,1.4561277771691843-3.5855893601861067E-11i,4.890231584397162E14,6.130434782608697E-7,1.4576151828825883,1.904534618430827E-11,0.013991783242073428
6.130434782608697E-7,8.0E-6,1.4564717018371656+3.945929963613935E-10i,4.890231584397162E14,6.130434782608697E-7,1.4576151828825883,2.4762824058722714E-11,0.010761226383112167
6.695652173913045E-7,1.0E-6,1.3855681578970245+6.205167615791968E-11i,4.477419827272726E14,6.695652173913045E-7,1.4560227787941218,5.091969809192424E-13,0.47915333083898454
6.695652173913045E-7,2.0E-6,1.436267698505968-1.0560927275290812E-9i,4.477419827272726E14,6.695652173913045E-7,1.4560227787941218,1.747270132849119E-12,0.1396369255524145
6.695652173913045E-7,3.0E-6,1.4468674172300005-1.6395473795620314E-13i,4.477419827272726E14,6.695652173913045E-7,1.4560227787941218,3.7282518478597035E-12,0.0654417779208437
6.695652173913045E-7,4.0E-6,1.4507590409220805+9.308505608427891E-12i,4.477419827272726E14,6.695652173913045E-7,1.4560227787941218,6.456659206475145E-12,0.037787874759740755
6.695652173913045E-7,4.9999999999999996E-6,1.4526084387509994-8.580720488153793E-12i,4.477419827272726E14,6.695652173913045E-7,1.4560227787941218,9.930865712956347E-12,0.02456819339952365
6.695652173913045E-7,5.999999999999999E-6,1.4536288541485691-2.239689186501229E-10i,4.477419827272726E14,6.695652173913045E-7,1.4560227787941218,1.4148356190569334E-11,0.01724464850716993
6.695652173913045E-7,7.0E-6,1.4542525994028357-2.6993415598754446E-11i,4.477419827272726E14,6.695652173913045E-7,1.4560227787941218,1.911734518897471E-11,0.012762411676351332
6.695652173913045E-7,8.0E-6,1.4546612006549697+7.419571540366757E-11i,4.477419827272726E14,6.695652173913045E-7,1.4560227787941218,2.4841443221463764E-11,0.009821628610120396
7.260869565217392E-7,1.0E-6,1.3733804926718307+2.14081799700847E-11i,4.128878164071856E14,7.260869565217392E-7,1.454722586478322,5.22047570482429E-13,0.43097740537107365
7.260869565217392E-7,2.0E-6,1.4317145538092424-5.035043924502695E-10i,4.128878164071856E14,7.260869565217392E-7,1.454722586478322,1.7713255697497194E-12,0.12701826883161865
7.260869565217392E-7,3.0E-6,1.4440270661001946-5.1902665183703066E-14i,4.128878164071856E14,7.260869565217392E-7,1.454722586478322,3.762682073681213E-12,0.059795301064772315
7.260869565217392E-7,4.0E-6,1.4485630647334358-1.5788102079121012E-11i,4.128878164071856E14,7.260869565217392E-7,1.454722586478322,6.501132467984929E-12,0.034607925390655415
7.260869565217392E-7,4.9999999999999996E-6,1.450722964822639-1.0736762480520048E-12i,4.128878164071856E14,7.260869565217392E-7,1.454722586478322,9.985278540846734E-12,0.02253224148794863
7.260869565217392E-7,5.999999999999999E-6,1.4519161766651636+7.84443720081642E-11i,4.128878164071856E14,7.260869565217392E-7,1.454722586478322,1.4212193773785205E-11,0.01583082182722499
7.260869565217392E-7,7.0E-6,1.4526462302340108+8.228068902751997E-14i,4.128878164071856E14,7.260869565217392E-7,1.454722586478322,1.9190399754642425E-11,0.01172412822470577
7.260869565217392E-7,8.0E-6,1.453124711164815-1.6638032254331021E-13i,4.128878164071856E14,7.260869565217392E-7,1.454722586478322,2.492176095592633E-11,0.00902788160935665
7.82608695652174E-7,1.0E-6,1.3608568671736072+1.0656557229987868E-11i,3.8306814077777775E14,7.82608695652174E-7,1.453624972580122,5.348634436061646E-13,0.3902704158114499
7.82608695652174E-7,2.0E-6,1.4271522154506822-3.325723989691644E-10i,3.8306814077777775E14,7.82608695652174E-7,1.453624972580122,1.7956147562864157E-12,0.11625064775599663
7.82608695652174E-7,3.0E-6,1.4412817743184008-1.6585601752808187E-14i,3.8306814077777775E14,7.82608695652174E-7,1.453624972580122,3.7973955909740174E-12,0.054969616290353476
7.82608695652174E-7,4.0E-6,1.4465049069929878-1.474636688276173E-11i,3.8306814077777775E14,7.82608695652174E-7,1.453624972580122,6.545952510922877E-12,0.031888617919272465
7.82608695652174E-7,4.9999999999999996E-6,1.4489968301927554-3.4543552531965177E-10i,3.8306814077777775E14,7.82608695652174E-7,1.453624972580122,1.0040098743051572E-11,0.020790769481523776
7.82608695652174E-7,5.999999999999999E-6,1.450375180568895+7.244654014095435E-12i,3.8306814077777775E14,7.82608695652174E-7,1.453624972580122,1.4276724455404487E-11,0.014621097380604155
7.82608695652174E-7,7.0E-6,1.4512192488624107-5.669212191046324E-10i,3.8306814077777775E14,7.82608695652174E-7,1.453624972580122,1.9264334211962548E-11,0.010835639386327712
7.82608695652174E-7,8.0E-6,1.451772749046081+1.9289217432799355E-12i,3.8306814077777775E14,7.82608695652174E-7,1.453624972580122,2.5003505886252587E-11,0.008348484388075028
8.391304347826088E-7,1.0E-6,1.347986412200454-4.866918714561564E-11i,3.57265623523316E14,8.391304347826088E-7,1.4526702712472443,5.475970468868132E-13,0.35551886106126035
8.391304347826088E-7,2.0E-6,1.422527389998643-2.9430120711561766E-10i,3.57265623523316E14,8.391304347826088E-7,1.4526702712472443,1.820131625726437E-12,0.10695988997609433
8.391304347826088E-7,3.0E-6,1.4385740179317876-6.269880502086848E-15i,3.57265623523316E14,8.391304347826088E-7,1.4526702712472443,3.8323987710836575E-12,0.05079875296345034
8.391304347826088E-7,4.0E-6,1.4445258811046384-4.0977954891514394E-12i,3.57265623523316E14,8.391304347826088E-7,1.4526702712472443,6.591116945094066E-12,0.02953688730627294
8.391304347826088E-7,4.9999999999999996E-6,1.4473708968965486+1.3772224104990015E-10i,3.57265623523316E14,8.391304347826088E-7,1.4526702712472443,1.0095314992278477E-11,0.01928429955663727
8.391304347826088E-7,5.999999999999999E-6,1.4489465195680118-3.861879272695169E-13i,3.57265623523316E14,8.391304347826088E-7,1.4526702712472443,1.4341863497922573E-11,0.013574322364587353
8.391304347826088E-7,7.0E-6,1.4499121955169256-4.0824027561819565E-11i,3.57265623523316E14,8.391304347826088E-7,1.4526702712472443,1.933901617076223E-11,0.010066751933536244
8.391304347826088E-7,8.0E-6,1.4505457917316242+7.924215008740242E-10i,3.57265623523316E14,8.391304347826088E-7,1.4526702712472443,2.5086451298638048E-11,0.007760407245813948
8.956521739130435E-7,1.0E-6,1.334778700316022-1.2592756130465804E-10i,3.347197346601942E14,8.956521739130435E-7,1.4518174589980242,5.60198983131545E-13,0.3255903434274437
8.956521739130435E-7,2.0E-6,1.417805302012359-2.558498180377391E-10i,3.347197346601942E14,8.956521739130435E-7,1.4518174589980242,1.8448668894237545E-12,0.09886641705758827
8.956521739130435E-7,3.0E-6,1.4358648653766632-2.0542369210450472E-15i,3.347197346601942E14,8.956521739130435E-7,1.4518174589980242,3.867695755947719E-12,0.04715866779981801
8.956521739130435E-7,4.0E-6,1.4425859202236384-5.794517280259788E-13i,3.347197346601942E14,8.956521739130435E-7,1.4518174589980242,6.636626397081212E-12,0.027483147067872006
8.956521739130435E-7,4.9999999999999996E-6,1.4458046562801419+1.1897381147472109E-10i,3.347197346601942E14,8.956521739130435E-7,1.4518174589980242,1.0150916924228672E-11,0.01796836489422496
8.956521739130435E-7,5.999999999999999E-6,1.4475894811804388-5.63388138269916E-13i,3.347197346601942E14,8.956521739130435E-7,1.4518174589980242,1.4407550507056876E-11,0.012659707784204296
8.956521739130435E-7,7.0E-6,1.4486842474893493+4.682936261930445E-11i,3.347197346601942E14,8.956521739130435E-7,1.4518174589980242,1.941436353561121E-11,0.009394867824069631
8.956521739130435E-7,8.0E-6,1.449402956355635+8.459260002724313E-11i,3.347197346601942E14,8.956521739130435E-7,1.4518174589980242,2.5170471750341013E-11,0.007246402892827518
9.521739130434783E-7,1.0E-6,1.3212575239948272-3.038990812210315E-10i,3.148505266666666E14,9.521739130434783E-7,1.4510375382465317,5.726190566339871E-13,0.29962023503296803
9.521739130434783E-7,2.0E-6,1.4129631033276697-1.904651349523309E-10i,3.148505266666666E14,9.521739130434783E-7,1.4510375382465317,1.869808672402828E-12,0.09175711871768948
9.521739130434783E-7,3.0E-6,1.4331273657259191-5.206946034610966E-16i,3.148505266666666E14,9.521739130434783E-7,1.4510375382465317,3.903288672951506E-12,0.043954795739793134
9.521739130434783E-7,4.0E-6,1.4406569624873207-6.822826990506994E-14i,3.148505266666666E14,9.521739130434783E-7,1.4510375382465317,6.6824829792954E-12,0.025674327471481535
9.521739130434783E-7,4.9999999999999996E-6,1.4442696154679746+1.8037629629444047E-12i,3.148505266666666E14,9.521739130434783E-7,1.4510375382465317,1.0206903675943755E-11,0.016809040408345778
9.521739130434783E-7,5.999999999999999E-6,1.4462753710582104-5.1321709052604903E-14i,3.148505266666666E14,9.521739130434783E-7,1.4510375382465317,1.4473744459692689E-11,0.011853757457914551
9.521739130434783E-7,7.0E-6,1.447506603200943-1.774315909821897E-12i,3.148505266666666E14,9.521739130434783E-7,1.4510375382465317,1.9490314578463893E-11,0.008802744339622331
9.521739130434783E-7,8.0E-6,1.448315379076922-9.766123552290509E-12i,3.148505266666666E14,9.521739130434783E-7,1.4510375382465317,2.5255406440114657E-11,0.0067933278658513134
1.008695652173913E-6,1.0E-6,1.307457198468795-3.663345467059124E-10i,2.972080402586207E14,1.008695652173913E-6,1.4503095124746623,5.848073457715647E-13,0.2769365313254356
1.008695652173913E-6,2.0E-6,1.4079858735790327-1.3941612383098728E-10i,2.972080402586207E14,1.008695652173913E-6,1.4503095124746623,1.8949429807862545E-12,0.08546669713745857
1.008695652173913E-6,3.0E-6,1.4303425285646014,2.972080402586207E14,1.008695652173913E-6,1.4503095124746623,3.9391778615945625E-12,0.04111378656206533
1.008695652173913E-6,4.0E-6,1.438718927828912-1.8477054590742384E-15i,2.972080402586207E14,1.008695652173913E-6,1.4503095124746623,6.728689397454207E-12,0.02406925156820095
1.008695652173913E-6,4.9999999999999996E-6,1.4427452720587528-1.2942112708500466E-11i,2.972080402586207E14,1.008695652173913E-6,1.4503095124746623,1.026327779677179E-11,0.015779999434737402
1.008695652173913E-6,5.999999999999999E-6,1.4449834889110682-8.633563090580604E-10i,2.972080402586207E14,1.008695652173913E-6,1.4503095124746623,1.4540418112715848E-11,0.011138229765895092
1.008695652173913E-6,7.0E-6,1.4463584569690857-1.8402638570492258E-12i,2.972080402586207E14,1.008695652173913E-6,1.4503095124746623,1.9566827253245368E-11,0.008276994309578211
1.008695652173913E-6,8.0E-6,1.4472621954255749-5.103441556273643E-12i,2.972080402586207E14,1.008695652173913E-6,1.4503095124746623,2.5341165547422343E-11,0.006390965621866808
1.065217391304348E-6,1.0E-6,1.2934202719011607,2.814378177142857E14,1.065217391304348E-6,1.4496178519565937,5.967152607224482E-13,0.25700869895322676
1.065217391304348E-6,2.0E-6,1.4028641108095303-1.0231793664911736E-10i,2.814378177142857E14,1.065217391304348E-6,1.4496178519565937,1.920254015576532E-12,0.07986496138520882
1.065217391304348E-6,3.0E-6,1.4274967943653227,2.814378177142857E14,1.065217391304348E-6,1.4496178519565937,3.9753620859487776E-12,0.03857787277940749
