% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.335
% Date,"Oct 14 2025, 10:11"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
5.000000000000001E-7,1.0E-6,1.3542800788767322+2.111001279704442E-13i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,6.358895273427811E-13,0.5138088015675313
5.000000000000001E-7,1.0E-6,1.363690688973276,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,6.469454075787008E-13,0.5050281401581667
5.000000000000001E-7,1.0E-6,1.420830207257552,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,4.708455722072217E-13,0.6939125166702101
5.000000000000001E-7,1.0E-6,1.4208313638232142,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,4.708596774269802E-13,0.6938917296098394
5.000000000000001E-7,2.0E-6,1.4333243678053034-7.648501214663879E-15i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,2.270321473163876E-12,0.1439116177313955
5.000000000000001E-7,2.0E-6,1.4344564319127715,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,2.318258292775766E-12,0.1409358210823581
5.000000000000001E-7,2.0E-6,1.450989423790389,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.6761230130506838E-12,0.19492938968642304
5.000000000000001E-7,2.0E-6,1.4509924096174063,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.6764937169833993E-12,0.19488628717394327
5.000000000000001E-7,3.0E-6,1.4490668287859423+3.666587652198671E-12i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,4.9071664035514345E-12,0.06658132394631637
5.000000000000001E-7,3.0E-6,1.4493582686028634+1.0495055024402106E-14i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,4.979178479149355E-12,0.06561838209687078
5.000000000000001E-7,3.0E-6,1.4571222500516423,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,3.6260431911284318E-12,0.09010527970894376
5.000000000000001E-7,3.0E-6,1.4571231331505916,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,3.6265623071103387E-12,0.09009238179439272
