% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 14 2025, 11:52"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
5.000000000000001E-7,1.0E-6,1.4208313636247183+1.4074594807747417E-10i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,4.708596823242034E-13,0.693891722392949
5.000000000000001E-7,2.0E-6,1.4509924096174032-7.702694538711287E-15i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.6764937169851348E-12,0.19488628717374154
5.000000000000001E-7,3.0E-6,1.457123133192077+3.8010632877842546E-11i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,3.6265622838487468E-12,0.09009238237226566
5.000000000000001E-7,4.0E-6,1.4593502814698962-4.775749350467149E-13i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,6.32545832503755E-12,0.05165248416546936
5.000000000000001E-7,4.9999999999999996E-6,1.460402000599212+8.974697496486304E-11i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,9.770522286168917E-12,0.03343993559442046
5.000000000000001E-7,5.999999999999999E-6,1.46098020126337-2.348447412338127E-11i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.3962507411802812E-11,0.023400212178018256
5.000000000000001E-7,7.0E-6,1.4613324436369668+2.332429340687333E-10i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.890555101273229E-11,0.017281994888871475
5.000000000000001E-7,8.0E-6,1.461562889215419+6.046345633763938E-12i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,2.4612193363507954E-11,0.01327494998709739
6.444444444444445E-7,1.0E-6,1.39088654549626+4.773944734647409E-11i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,5.034862681034764E-13,0.503477540440588
6.444444444444445E-7,2.0E-6,1.438308599618722-1.5718801458678982E-9i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,1.736654589284113E-12,0.1459668661082712
6.444444444444445E-7,3.0E-6,1.4481816681966952-2.1615909305576408E-13i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,3.713038257926404E-12,0.0682713213011481
6.444444444444445E-7,4.0E-6,1.4518009390062279+3.955262646170995E-11i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,6.4370064045596956E-12,0.039380732591905554
6.444444444444445E-7,4.9999999999999996E-6,1.4535193646745672-1.5863295456217643E-11i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,9.906820848984272E-12,0.025587827999972272
6.444444444444445E-7,5.999999999999999E-6,1.4544669980426208-5.586746830264581E-10i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,1.4120236919360253E-11,0.01795253361243417
6.444444444444445E-7,7.0E-6,1.455045999368742-3.780771637543254E-11i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,1.9085202734525913E-11,0.013282228721194967
6.444444444444445E-7,8.0E-6,1.4554252093307574+2.2892462822068313E-10i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,2.4806273461155024E-11,0.010218948376397754
7.88888888888889E-7,1.0E-6,1.3594439168092558+7.933271030907434E-12i,3.800186087323943E14,7.88888888888889E-7,1.4535127183711656,5.362832424651923E-13,0.3861385403017635
7.88888888888889E-7,2.0E-6,1.4266421976098596-3.2429112832697354E-10i,3.800186087323943E14,7.88888888888889E-7,1.4535127183711656,1.7983277539101197E-12,0.11515121644736395
7.88888888888889E-7,3.0E-6,1.4409799013500053-1.4855217831146247E-14i,3.800186087323943E14,7.88888888888889E-7,1.4535127183711656,3.801270434584437E-12,0.05447642623628394
7.88888888888889E-7,4.0E-6,1.44628197092352-1.353795514972234E-11i,3.800186087323943E14,7.88888888888889E-7,1.4535127183711656,6.5509537819777845E-12,0.03161060745131484
7.88888888888889E-7,4.9999999999999996E-6,1.448812094354613-2.4377215736107116E-10i,3.800186087323943E14,7.88888888888889E-7,1.4535127183711656,1.0046214723212862E-11,0.02061270181248727
7.88888888888889E-7,5.999999999999999E-6,1.4502117684148381+4.495440237329242E-12i,3.800186087323943E14,7.88888888888889E-7,1.4535127183711656,1.4283933388226865E-11,0.014497381274858485
7.88888888888889E-7,7.0E-6,1.451068975763602-4.900708697217165E-10i,3.800186087323943E14,7.88888888888889E-7,1.4535127183711656,1.927259673658413E-11,0.010744770477177992
7.88888888888889E-7,8.0E-6,1.4516311259449695+2.4530663523229607E-12i,3.800186087323943E14,7.88888888888889E-7,1.4535127183711656,2.5012667075558627E-11,0.008278990313518223
9.333333333333334E-7,1.0E-6,1.3257974810254014-2.3832444137370126E-10i,3.2120620499999994E14,9.333333333333334E-7,1.4512908409723466,5.685023380638165E-13,0.3078819188257318
9.333333333333334E-7,2.0E-6,1.414591567082342-2.119983614069274E-10i,3.2120620499999994E14,9.333333333333334E-7,1.4512908409723466,1.8614726222671116E-12,0.09402856029482154
9.333333333333334E-7,3.0E-6,1.434044318867365-8.022097739804801E-16i,3.2120620499999994E14,9.333333333333334E-7,1.4512908409723466,3.891391430615364E-12,0.044979178738727935
9.333333333333334E-7,4.0E-6,1.4413000970751084-1.4436602668656492E-13i,3.2120620499999994E14,9.333333333333334E-7,1.4512908409723466,6.667158720074793E-12,0.026252800937974243
9.333333333333334E-7,4.9999999999999996E-6,1.4447792265772936+2.133770467473623E-11i,3.2120620499999994E14,9.333333333333334E-7,1.4512908409723466,1.0188198543963318E-11,0.017179837038385153
9.333333333333334E-7,5.999999999999999E-6,1.4467100477365107-1.778554950217651E-13i,3.2120620499999994E14,9.333333333333334E-7,1.4512908409723466,1.4451625394173621E-11,0.012111550495252192
9.333333333333334E-7,7.0E-6,1.447894978337453+1.2412438761898291E-12i,3.2120620499999994E14,9.333333333333334E-7,1.4512908409723466,1.946493345549922E-11,0.008992149451738964
9.333333333333334E-7,8.0E-6,1.4486731849785286-2.122204878016756E-12i,3.2120620499999994E14,9.333333333333334E-7,1.4512908409723466,2.5226999502922487E-11,0.006938264325875366
1.0777777777777779E-6,1.0E-6,1.29027366431247,2.7815795072164947E14,1.0777777777777779E-6,1.449467851000407,5.993186920291334E-13,0.252910097187586
1.0777777777777779E-6,2.0E-6,1.401705680375146-9.544502112605473E-11i,2.7815795072164947E14,1.0777777777777779E-6,1.449467851000407,1.925900970738836E-12,0.0787027738966644
1.0777777777777779E-6,3.0E-6,1.4268550975056424,2.7815795072164947E14,1.0777777777777779E-6,1.449467851000407,3.9834428523735534E-12,0.03805094092340477
1.0777777777777779E-6,4.0E-6,1.4363168748852033+2.4603738172349265E-15i,2.7815795072164947E14,1.0777777777777779E-6,1.449467851000407,6.785643017589161E-12,0.02233741861375976
1.0777777777777779E-6,4.9999999999999996E-6,1.4408750922209839-6.952429509196049E-12i,2.7815795072164947E14,1.0777777777777779E-6,1.449467851000407,1.0332711361956054E-11,0.01466931024566345
1.0777777777777779E-6,5.999999999999999E-6,1.443412802936062-1.5314755107727914E-11i,2.7815795072164947E14,1.0777777777777779E-6,1.449467851000407,1.4622535960711914E-11,0.010365763439028366
