% Model,fibra_optica.mph
% Version,COMSOL 6.3.0.335
% Date,"Oct 10 2025, 08:38"
% Table,Accumulated Probe Table - 
% wv0 (m),Effective_mode_index (1),"Frequency (Hz), Frequency Probe","Initialization of wavelength (m), Wavelength Probe","Effective mode index (1), neff Probe","Refractive index, n_silica Probe"
5.0E-7,1.4618363164251686-6.362085774753956E-10i,5.99584916E14,5.0E-7,1.4618363164251686-6.362085774753956E-10i,1.4623253956147793
5.0E-7,1.4618404646066308-9.577187434202866E-12i,5.99584916E14,5.0E-7,1.4618404646066308-9.577187434202866E-12i,1.4623253956147793
5.0E-7,1.462132741056932,5.99584916E14,5.0E-7,1.462132741056932,1.4623253956147793
5.0E-7,1.4621328597817669,5.99584916E14,5.0E-7,1.4621328597817669,1.4623253956147793
6.333333333333333E-7,1.4562167968773378-2.2717167737601504E-10i,4.7335651263157894E14,6.333333333333333E-7,1.4562167968773378-2.2717167737601504E-10i,1.4570025214412274
6.333333333333333E-7,1.456222412936654+1.2979920418448136E-12i,4.7335651263157894E14,6.333333333333333E-7,1.456222412936654+1.2979920418448136E-12i,1.4570025214412274
6.333333333333333E-7,1.4566930371682585,4.7335651263157894E14,6.333333333333333E-7,1.4566930371682585,1.4570025214412274
6.333333333333333E-7,1.4566932369254975,4.7335651263157894E14,6.333333333333333E-7,1.4566932369254975,1.4570025214412274
7.666666666666666E-7,1.4527671316636652-2.339460857309217E-11i,3.9103364086956525E14,7.666666666666666E-7,1.4527671316636652-2.339460857309217E-11i,1.4539179236934907
7.666666666666666E-7,1.4527735871860827+6.5322583363846E-13i,3.9103364086956525E14,7.666666666666666E-7,1.4527735871860827+6.5322583363846E-13i,1.4539179236934907
7.666666666666666E-7,1.4534646891163454,3.9103364086956525E14,7.666666666666666E-7,1.4534646891163454,1.4539179236934907
7.666666666666666E-7,1.4534649923119354,3.9103364086956525E14,7.666666666666666E-7,1.4534649923119354,1.4539179236934907
8.999999999999999E-7,1.4501714944816533-3.1695997733536605E-10i,3.331027311111112E14,8.999999999999999E-7,1.4501714944816533-3.1695997733536605E-10i,1.4517551859711078
8.999999999999999E-7,1.4501777410074088-1.271096358468311E-11i,3.331027311111112E14,8.999999999999999E-7,1.4501777410074088-1.271096358468311E-11i,1.4517551859711078
8.999999999999999E-7,1.4511315282899604,3.331027311111112E14,8.999999999999999E-7,1.4511315282899604,1.4517551859711078
8.999999999999999E-7,1.4511319561699496,3.331027311111112E14,8.999999999999999E-7,1.4511319561699496,1.4517551859711078
1.0333333333333333E-6,1.4479204687556273+5.3599781651288984E-12i,2.901217335483871E14,1.0333333333333333E-6,1.4479204687556273+5.3599781651288984E-12i,1.4500043110291352
1.0333333333333333E-6,1.4479250697712243-2.6546825491562447E-12i,2.901217335483871E14,1.0333333333333333E-6,1.4479250697712243-2.6546825491562447E-12i,1.4500043110291352
1.0333333333333333E-6,1.449183798884016,2.901217335483871E14,1.0333333333333333E-6,1.449183798884016,1.4500043110291352
1.0333333333333333E-6,1.449184370535269,2.901217335483871E14,1.0333333333333333E-6,1.449184370535269,1.4500043110291352
1.1666666666666664E-6,1.4457819778728742-6.62055270256665E-11i,2.5696496400000006E14,1.1666666666666664E-6,1.4457819778728742-6.62055270256665E-11i,1.4484322184962446
1.1666666666666664E-6,1.4457828386069702+7.693419744551392E-12i,2.5696496400000006E14,1.1666666666666664E-6,1.4457828386069702+7.693419744551392E-12i,1.4484322184962446
1.1666666666666664E-6,1.4473886468768853,2.5696496400000006E14,1.1666666666666664E-6,1.4473886468768853,1.4484322184962446
1.1666666666666664E-6,1.4473893786856586,2.5696496400000006E14,1.1666666666666664E-6,1.4473893786856586,1.4484322184962446
1.2999999999999998E-6,1.4436347900702589+1.8922284922379855E-10i,2.306095830769231E14,1.2999999999999998E-6,1.4436347900702589+1.8922284922379855E-10i,1.446918989259658
1.2999999999999998E-6,1.4436414895360017+4.661314070319561E-12i,2.306095830769231E14,1.2999999999999998E-6,1.4436414895360017+4.661314070319561E-12i,1.446918989259658
1.2999999999999998E-6,1.4456263609276883,2.306095830769231E14,1.2999999999999998E-6,1.4456263609276883,1.446918989259658
1.2999999999999998E-6,1.4456272664025296,2.306095830769231E14,1.2999999999999998E-6,1.4456272664025296,1.446918989259658
1.4333333333333333E-6,1.4414135810772366-4.8658535226468334E-12i,2.091575288372093E14,1.4333333333333333E-6,1.4414135810772366-4.8658535226468334E-12i,1.4453968945765736
1.4333333333333333E-6,1.4414298079470365+3.4278602365239063E-13i,2.091575288372093E14,1.4333333333333333E-6,1.4414298079470365+3.4278602365239063E-13i,1.4453968945765736
1.4333333333333333E-6,1.4438294006448016,2.091575288372093E14,1.4333333333333333E-6,1.4438294006448016,1.4453968945765736
1.4333333333333333E-6,1.443830490471038,2.091575288372093E14,1.4333333333333333E-6,1.443830490471038,1.4453968945765736
1.5666666666666663E-6,1.4390765138828583-5.37071655018484E-11i,1.913568880851064E14,1.5666666666666663E-6,1.4390765138828583-5.37071655018484E-11i,1.4438245013133164
1.5666666666666663E-6,1.439105588718999+4.9754920998270236E-11i,1.913568880851064E14,1.5666666666666663E-6,1.439105588718999+4.9754920998270236E-11i,1.4438245013133164
1.5666666666666663E-6,1.4419565022275789,1.913568880851064E14,1.5666666666666663E-6,1.4419565022275789,1.4438245013133164
1.5666666666666663E-6,1.4419577844419214,1.913568880851064E14,1.5666666666666663E-6,1.4419577844419214,1.4438245013133164
